ID_NASABAH,NAMA,TIPE,PINJAMAN,TENOR,Total Pinjaman,Cicilan
10,AHMAD,C,55000000,18,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5.270833e+06
1     9.583333e+06
2     3.162500e+06
3     2.395833e+06
4     7.187500e+06
5     4.312500e+06
6     6.229167e+06
7     5.750000e+06
8     8.145833e+06
9     3.354167e+06
10    5.750000e+06
11    6.229167e+06
12    3.354167e+06
Name: PINJAMAN, dtype: float64"
12,RIANA,B,100000000,48,"0      61600000.0
1     112000000.0
2      36960000.0
3      28000000.0
4      84000000.0
5      50400000.0
6      72800000.0
7      67200000.0
8      95200000.0
9      39200000.0
10     67200000.0
11     72800000.0
12     39200000.0
Name: PINJAMAN, dtype: float64","0     5.133333e+06
1     9.333333e+06
2     3.080000e+06
3     2.333333e+06
4     7.000000e+06
5     4.200000e+06
6     6.066667e+06
7     5.600000e+06
8     7.933333e+06
9     3.266667e+06
10    5.600000e+06
11    6.066667e+06
12    3.266667e+06
Name: PINJAMAN, dtype: float64"
14,RENITA,A,33000000,24,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64","0     5.041667e+06
1     9.166667e+06
2     3.025000e+06
3     2.291667e+06
4     6.875000e+06
5     4.125000e+06
6     5.958333e+06
7     5.500000e+06
8     7.791667e+06
9     3.208333e+06
10    5.500000e+06
11    5.958333e+06
12    3.208333e+06
Name: PINJAMAN, dtype: float64"
17,DIDIN,C,25000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5.270833e+06
1     9.583333e+06
2     3.162500e+06
3     2.395833e+06
4     7.187500e+06
5     4.312500e+06
6     6.229167e+06
7     5.750000e+06
8     8.145833e+06
9     3.354167e+06
10    5.750000e+06
11    6.229167e+06
12    3.354167e+06
Name: PINJAMAN, dtype: float64"
18,DUDUNG,C,75000000,36,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5.270833e+06
1     9.583333e+06
2     3.162500e+06
3     2.395833e+06
4     7.187500e+06
5     4.312500e+06
6     6.229167e+06
7     5.750000e+06
8     8.145833e+06
9     3.354167e+06
10    5.750000e+06
11    6.229167e+06
12    3.354167e+06
Name: PINJAMAN, dtype: float64"
33,RETNO,C,45000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5.270833e+06
1     9.583333e+06
2     3.162500e+06
3     2.395833e+06
4     7.187500e+06
5     4.312500e+06
6     6.229167e+06
7     5.750000e+06
8     8.145833e+06
9     3.354167e+06
10    5.750000e+06
11    6.229167e+06
12    3.354167e+06
Name: PINJAMAN, dtype: float64"
39,FAJAR,C,65000000,24,"0      63250000.0
1     115000000.0
2      37950000.0
3      28750000.0
4      86250000.0
5      51750000.0
6      74750000.0
7      69000000.0
8      97750000.0
9      40250000.0
10     69000000.0
11     74750000.0
12     40250000.0
Name: PINJAMAN, dtype: float64","0     5.270833e+06
1     9.583333e+06
2     3.162500e+06
3     2.395833e+06
4     7.187500e+06
5     4.312500e+06
6     6.229167e+06
7     5.750000e+06
8     8.145833e+06
9     3.354167e+06
10    5.750000e+06
11    6.229167e+06
12    3.354167e+06
Name: PINJAMAN, dtype: float64"
51,EKA,A,60000000,36,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64","0     5.041667e+06
1     9.166667e+06
2     3.025000e+06
3     2.291667e+06
4     6.875000e+06
5     4.125000e+06
6     5.958333e+06
7     5.500000e+06
8     7.791667e+06
9     3.208333e+06
10    5.500000e+06
11    5.958333e+06
12    3.208333e+06
Name: PINJAMAN, dtype: float64"
52,BERLIAN,A,85000000,60,"0      60500000.0
1     110000000.0
2      36300000.0
3      27500000.0
4      82500000.0
5      49500000.0
6      71500000.0
7      66000000.0
8      93500000.0
9      38500000.0
10     66000000.0
11     71500000.0
12     38500000.0
Name: PINJAMAN, dtype: float64","0     5.041667e+06
1     9.166667e+06
2     3.025000e+06
3     2.291667e+06
4     6.875000e+06
5     4.125000e+06
6     5.958333e+06
7     5.500000e+06
8     7.791667e+06
9     3.208333e+06
10    5.500000e+06
11    5.958333e+06
12    3.208333e+06
Name: PINJAMAN, dtype: float64"
55,RONI,B,35000000,24,"0      61600000.0
1     112000000.0
2      36960000.0
3      28000000.0
4      84000000.0
5      50400000.0
6      72800000.0
7      67200000.0
8      95200000.0
9      39200000.0
10     67200000.0
11     72800000.0
12     39200000.0
Name: PINJAMAN, dtype: float64","0     5.133333e+06
1     9.333333e+06
2     3.080000e+06
3     2.333333e+06
4     7.000000e+06
5     4.200000e+06
6     6.066667e+06
7     5.600000e+06
8     7.933333e+06
9     3.266667e+06
10    5.600000e+06
11    6.066667e+06
12    3.266667e+06
Name: PINJAMAN, dtype: float64"
